price,contracts,side
0.28,23756.14,yes_bid
0.279,25095.0,yes_bid
0.278,25186.0,yes_bid
0.27,44448.0,yes_bid
0.269,44616.0,yes_bid
0.268,44784.0,yes_bid
0.01,1.0,yes_bid
