timestamp_utc,open_interest,volume,trade_open,trade_high,trade_low,trade_close,trade_mean,trade_previous,yes_bid_close,yes_ask_close,timestamp_et,midpoint,spread,trade_close_filled
2026-04-29 13:07:00+00:00,304780.76,17.57,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.45,2026-04-29 09:07:00-04:00,0.4495,0.0010000000000000009,0.449
2026-04-29 13:09:00+00:00,304780.76,0.0,,,,,,0.449,0.433,0.45,2026-04-29 09:09:00-04:00,0.4415,0.017000000000000015,0.449
2026-04-29 13:10:00+00:00,304780.76,0.0,,,,,,0.449,0.434,0.45,2026-04-29 09:10:00-04:00,0.442,0.016000000000000014,0.449
2026-04-29 13:11:00+00:00,304785.76,5.0,0.45,0.45,0.45,0.45,0.45,0.449,0.434,0.45,2026-04-29 09:11:00-04:00,0.442,0.016000000000000014,0.45
2026-04-29 13:12:00+00:00,304785.76,0.0,,,,,,0.45,0.435,0.45,2026-04-29 09:12:00-04:00,0.4425,0.015000000000000013,0.45
2026-04-29 13:13:00+00:00,304785.76,0.0,,,,,,0.45,0.435,0.44,2026-04-29 09:13:00-04:00,0.4375,0.0050000000000000044,0.45
2026-04-29 13:28:00+00:00,304785.76,0.0,,,,,,0.45,0.439,0.44,2026-04-29 09:28:00-04:00,0.4395,0.0010000000000000009,0.45
2026-04-29 13:29:00+00:00,304780.76,5.0,0.44,0.44,0.44,0.44,0.44,0.45,0.441,0.45,2026-04-29 09:29:00-04:00,0.4455,0.009000000000000008,0.44
2026-04-29 13:36:00+00:00,304780.76,0.0,,,,,,0.44,0.446,0.45,2026-04-29 09:36:00-04:00,0.448,0.0040000000000000036,0.44
2026-04-29 13:46:00+00:00,304780.76,0.0,,,,,,0.44,0.449,0.45,2026-04-29 09:46:00-04:00,0.4495,0.0010000000000000009,0.44
2026-04-29 13:48:00+00:00,308702.96,3922.2,0.45,0.483,0.45,0.483,0.4679,0.44,0.451,0.492,2026-04-29 09:48:00-04:00,0.47150000000000003,0.04099999999999998,0.483
2026-04-29 13:49:00+00:00,308702.96,0.0,,,,,,0.483,0.452,0.491,2026-04-29 09:49:00-04:00,0.47150000000000003,0.03899999999999998,0.483
2026-04-29 13:51:00+00:00,310706.94,2123.2,0.491,0.493,0.491,0.493,0.4929,0.483,0.456,0.495,2026-04-29 09:51:00-04:00,0.47550000000000003,0.03899999999999998,0.493
2026-04-29 13:52:00+00:00,311933.48,4257.66,0.495,0.503,0.495,0.503,0.5013,0.493,0.503,0.522,2026-04-29 09:52:00-04:00,0.5125,0.019000000000000017,0.503
2026-04-29 13:53:00+00:00,311933.48,0.0,,,,,,0.503,0.503,0.52,2026-04-29 09:53:00-04:00,0.5115000000000001,0.017000000000000015,0.503
2026-04-29 13:56:00+00:00,311933.48,0.0,,,,,,0.503,0.503,0.519,2026-04-29 09:56:00-04:00,0.511,0.016000000000000014,0.503
2026-04-29 13:58:00+00:00,311933.48,0.0,,,,,,0.503,0.492,0.519,2026-04-29 09:58:00-04:00,0.5055000000000001,0.027000000000000024,0.503
2026-04-29 14:03:00+00:00,311933.48,0.0,,,,,,0.503,0.498,0.519,2026-04-29 10:03:00-04:00,0.5085,0.02100000000000002,0.503
2026-04-29 14:11:00+00:00,311933.48,0.0,,,,,,0.503,0.495,0.519,2026-04-29 10:11:00-04:00,0.507,0.02400000000000002,0.503
2026-04-29 14:13:00+00:00,311933.48,0.0,,,,,,0.503,0.496,0.518,2026-04-29 10:13:00-04:00,0.507,0.02200000000000002,0.503
2026-04-29 14:14:00+00:00,311933.48,0.0,,,,,,0.503,0.498,0.518,2026-04-29 10:14:00-04:00,0.508,0.020000000000000018,0.503
2026-04-29 14:16:00+00:00,311933.48,0.0,,,,,,0.503,0.499,0.518,2026-04-29 10:16:00-04:00,0.5085,0.019000000000000017,0.503
2026-04-29 14:18:00+00:00,311941.55,18.63,0.518,0.519,0.518,0.519,0.5186,0.503,0.501,0.519,2026-04-29 10:18:00-04:00,0.51,0.018000000000000016,0.519
2026-04-29 14:33:00+00:00,311941.55,0.0,,,,,,0.519,0.501,0.519,2026-04-29 10:33:00-04:00,0.51,0.018000000000000016,0.519
2026-04-29 14:36:00+00:00,311941.55,0.0,,,,,,0.519,0.501,0.517,2026-04-29 10:36:00-04:00,0.509,0.016000000000000014,0.519
2026-04-29 14:37:00+00:00,311941.55,0.0,,,,,,0.519,0.498,0.517,2026-04-29 10:37:00-04:00,0.5075000000000001,0.019000000000000017,0.519
2026-04-29 14:50:00+00:00,311941.55,0.0,,,,,,0.519,0.499,0.519,2026-04-29 10:50:00-04:00,0.509,0.020000000000000018,0.519
2026-04-29 14:51:00+00:00,311941.55,0.0,,,,,,0.519,0.5,0.519,2026-04-29 10:51:00-04:00,0.5095000000000001,0.019000000000000017,0.519
2026-04-29 14:59:00+00:00,311941.55,0.0,,,,,,0.519,0.504,0.519,2026-04-29 10:59:00-04:00,0.5115000000000001,0.015000000000000013,0.519
2026-04-29 15:00:00+00:00,311941.55,0.0,,,,,,0.519,0.505,0.519,2026-04-29 11:00:00-04:00,0.512,0.014000000000000012,0.519
2026-04-29 15:07:00+00:00,311941.55,0.0,,,,,,0.519,0.505,0.519,2026-04-29 11:07:00-04:00,0.512,0.014000000000000012,0.519
2026-04-29 15:10:00+00:00,311882.55,59.0,0.505,0.505,0.505,0.505,0.505,0.519,0.506,0.518,2026-04-29 11:10:00-04:00,0.512,0.01200000000000001,0.505
2026-04-29 15:12:00+00:00,311882.55,0.0,,,,,,0.505,0.507,0.518,2026-04-29 11:12:00-04:00,0.5125,0.01100000000000001,0.505
2026-04-29 15:15:00+00:00,311882.55,0.0,,,,,,0.505,0.509,0.518,2026-04-29 11:15:00-04:00,0.5135000000000001,0.009000000000000008,0.505
2026-04-29 15:16:00+00:00,311882.55,0.0,,,,,,0.505,0.509,0.519,2026-04-29 11:16:00-04:00,0.514,0.010000000000000009,0.505
2026-04-29 15:29:00+00:00,311830.55,52.0,0.509,0.509,0.509,0.509,0.509,0.505,0.51,0.519,2026-04-29 11:29:00-04:00,0.5145,0.009000000000000008,0.509
2026-04-29 15:31:00+00:00,311830.55,0.0,,,,,,0.509,0.509,0.519,2026-04-29 11:31:00-04:00,0.514,0.010000000000000009,0.509
