target_quantity,filled_quantity,unfilled_quantity,avg_price_cents,worst_price_cents,total_cost_dollars,best_ask_cents,slippage_vs_best_ask_cents
10,10.0,0.0,55.00000000000001,55.00000000000001,5.5,55.00000000000001,0.0
100,100.0,0.0,55.108079999999994,55.400000000000006,55.108079999999994,55.00000000000001,0.10807999999998685
500,500.0,0.0,55.341616,55.400000000000006,276.70808,55.00000000000001,0.3416159999999948
1000,1000.0,0.0,55.404824000000005,55.800000000000004,554.0482400000001,55.00000000000001,0.40482399999999785
5000,5000.0,0.0,56.2187744,57.00000000000001,2810.93872,55.00000000000001,1.2187743999999938
10000,10000.0,0.0,57.12817520000001,59.00000000000001,5712.8175200000005,55.00000000000001,2.128175200000001
